symbol
"NTPC"
"JIOFIN"
"ONGC"
"JSWSTEEL"
"TATASTEEL"
"MARUTI"
"POWERGRID"
"COALINDIA"
"HINDALCO"
"INDUSINDBK"
"TECHM"
"UPL"
"LTIM"
"WIPRO"
"EICHERMOT"
"BAJFINANCE"
"SBILIFE"
"AXISBANK"
"BAJAJFINSV"
"TATAMOTORS"
"GRASIM"
"SBIN"
"ADANIENT"
"BPCL"
"HCLTECH"
"TATACONSUM"
"BHARTIARTL"
"M&M"
"ICICIBANK"
"ADANIPORTS"
"KOTAKBANK"
"BAJAJ-AUTO"
"APOLLOHOSP"
"TCS"
"BRITANNIA"
"INFY"
"HEROMOTOCO"
"TITAN"
"RELIANCE"
"ASIANPAINT"
"HDFCBANK"
"LT"
"DIVISLAB"
"ITC"
"HINDUNILVR"
"SUNPHARMA"
"ULTRACEMCO"
"NESTLEIND"
"DRREDDY"
"HDFCLIFE"
"CIPLA"
