Date,Open,High,Low,Close,Adj Close,Volume
2023-09-28,19761.800781,19766.650391,19492.099609,19523.550781,19523.550781,352800
2023-09-29,19581.199219,19726.25,19551.050781,19638.300781,19638.300781,243500
2023-10-03,19622.400391,19623.199219,19479.650391,19528.75,19528.75,221700
2023-10-04,19446.300781,19457.800781,19333.599609,19436.099609,19436.099609,277100
2023-10-05,19521.849609,19576.949219,19487.300781,19545.75,19545.75,234900
2023-10-06,19621.199219,19675.75,19589.400391,19653.5,19653.5,159100
2023-10-09,19539.449219,19588.949219,19480.5,19512.349609,19512.349609,165100
2023-10-10,19565.599609,19717.800781,19565.449219,19689.849609,19689.849609,216600
2023-10-11,19767,19839.199219,19756.949219,19811.349609,19811.349609,213700
2023-10-12,19822.699219,19843.300781,19772.650391,19794,19794,217900
2023-10-13,19654.550781,19805.400391,19635.300781,19751.050781,19751.050781,255000
2023-10-16,19737.25,19781.300781,19691.849609,19731.75,19731.75,181000
2023-10-17,19843.199219,19849.75,19775.650391,19811.5,19811.5,185800
2023-10-18,19820.449219,19840.949219,19659.949219,19671.099609,19671.099609,198900
2023-10-19,19545.199219,19681.800781,19512.349609,19624.699219,19624.699219,230300
2023-10-20,19542.150391,19593.800781,19518.699219,19542.650391,19542.650391,198300
2023-10-23,19521.599609,19556.849609,19257.849609,19281.75,19281.75,176000
2023-10-25,19286.449219,19347.300781,19074.150391,19122.150391,19122.150391,225300
2023-10-26,19027.25,19041.699219,18837.849609,18857.25,18857.25,300400
2023-10-27,18928.75,19076.150391,18926.650391,19047.25,19047.25,205200
2023-10-30,19053.400391,19158.5,18940,19140.900391,19140.900391,180100
2023-10-31,19232.949219,19233.699219,19056.449219,19079.599609,19079.599609,206000
2023-11-01,19064.050781,19096.050781,18973.699219,18989.150391,18989.150391,194100
2023-11-02,19120,19175.25,19064.150391,19133.25,19133.25,245600
2023-11-03,19241,19276.25,19210.900391,19230.599609,19230.599609,189500
2023-11-06,19345.849609,19423,19309.699219,19411.75,19411.75,180700
2023-11-07,19404.050781,19423.5,19329.099609,19406.699219,19406.699219,198700
2023-11-08,19449.599609,19464.400391,19401.5,19443.5,19443.5,195000
2023-11-09,19457.400391,19463.900391,19378.349609,19395.300781,19395.300781,208400
2023-11-10,19351.849609,19451.300781,19329.449219,19425.349609,19425.349609,152200
2023-11-13,19486.75,19494.400391,19414.75,19443.550781,19443.550781,189300
2023-11-15,19651.400391,19693.199219,19579.650391,19675.449219,19675.449219,291500
2023-11-16,19674.699219,19875.25,19627,19765.199219,19765.199219,282700
2023-11-17,19674.75,19806,19667.449219,19731.800781,19731.800781,236800
2023-11-20,19731.150391,19756.449219,19670.5,19694,19694,173800
2023-11-21,19770.900391,19829.099609,19754.050781,19783.400391,19783.400391,195000
2023-11-22,19784,19825.550781,19703.849609,19811.849609,19811.849609,184500
2023-11-23,19828.449219,19875.150391,19786.75,19802,19802,170000
2023-11-24,19809.599609,19832.849609,19768.849609,19794.699219,19794.699219,145900
2023-11-28,19844.650391,19916.849609,19800,19889.699219,19889.699219,229600
