trailingPE,averageVolume,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,netIncomeToCommon,trailingEps,enterpriseToRevenue,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,earningsGrowth,revenueGrowth,ebitdaMargins,operatingMargins,currentPrice
19.67283,23102300,288470302720,32.6,146.65,1.3599142,312926666752,0.0691,2085020032,0.78200996,0.06245,35.071,3.9434292,14657800192,7.03,1.475,18533099520,8.918,64413401088,212123893760,87.935,0.154,0.201,0.06336,0.06097,138.3
55.331127,9310156,161589723136,93.85,168.15,9.505949,147851771904,0.16805,967024000,0.66156,0.15821,21.56,7.7504644,2856600064,3.02,8.698,3010400000,3.12,1640700032,16998800384,7.88,-0.169,0.065,0.28121,0.17438999,167.1
29.559074,1360037,82542026752,185,346.8,1.8912702,82765946880,0.06352,239079008,0.7739,0.08039,67.479,5.116407,2772199936,11.68,1.896,1320999936,5.62,7130999808,43643699200,44.827,-0.137,0.064,0.10107,0.07565,345.25
8.163362,3983463,114595528704,62.1,87.7,0.79280996,233083502592,0.09712,1325570048,0.06136,0.73529,82.307,1.0503359,14038299648,10.59,1.613,25746399232,19.423,142628405248,144543498240,125.232,0.213,0.051,0.15224,0.0964,86.45
18.043655,46812,26380793856,1364,2087,1.4150816,23748014080,0.07843,13159800,0.66564006,0.00895,578.401,3.4658482,1462184960,111.1,1.274,1830168960,139.072,238272992,18642595840,3.13,0.22,0.065,0.13495,0.10185,2004.65
12.917132,13735184,2237021552640,155,231.65,1.270278,4440681086976,0.10135,9696669696,0.51118,0.39341998,151.54,1.5223703,178489704448,17.86,2.522,49985298432,5.159,2216259747840,1761048788992,146.817,0.239,-0.002,0.28327,0.19713,230.7
82.49428,1676944,144224157696,67.85,380.55,5.709512,136483733504,0.06758,399487008,0.81955004,0.06519,20.735,17.386063,1707217024,4.37,5.403,1673896960,4.261,2880806912,25260328960,35.855,3.848,1.55,0.12622,0.11612,360.5
13.312258,3024245,189761699840,65,140,1.2149554,420103028736,0.0793,1386640000,0.82241994,0.07166,110.246,1.2413149,12385599488,10.28,2.69,2514500096,1.852,223331401728,156188196864,126.708,-0.273,-0.141,0.42476,0.31093,136.85
40.012375,367881,31342153728,177.65,333,4.350873,31974649856,0.11005,96944496,0.78115,0.010829999,35.923,8.9998045,792761984,8.08,4.439,466867008,4.822,3341927936,7203646976,96.085,-0.018,0.18,0.19319001,0.15935999,323.3
25.28075,2173076,26953936896,55.3,98.25,0.9878122,29849933824,0.039470002,284892000,0.65023005,0.010369999,30.724,3.0773988,1076899968,3.74,1.094,718400000,2.535,4123000064,27286499328,46.166,1.22,1.463,0.09454001,0.061440002,94.55
