trailingPE,priceToBook,trailingEps,debtToEquity,currentPrice,symbol
6.9691405,1.0061215,59.95,0.43256,417.8,NAVA.NS
23.115234,3.8735967,30.72,0.04705,710.1,AHLUCONT.NS
68.90792,1.2360711,4.67,1.66664,321.8,DBL.NS
107.60698,18.934155,17.76,0.02944,1911.1,ASTRAL.NS
22.516245,2.7956073,13.85,0.3237,311.85,INDOCO.NS
2.3015397,3.6187572,100.02,0.31409,230.2,RELIGARE.NS
42.203514,12.519816,13.66,0.22096,576.5,SBCL.NS
22.607763,4.8939834,167.73,0.12921,3792,NEULANDLAB.NS
13.263382,2.3626032,72.67,5.99933,963.85,CHOLAHLDNG.NS
46.668022,7.5465636,12.32,0.09298,574.95,MAXHEALTH.NS
53.83772,6.957237,4.56,1.18187,245.5,KALYANKJIL.NS
25.404257,5.441867,18.8,2.16977,477.6,360ONE.NS
25.323586,5.2692556,30.44,0.17423,770.85,GOKEX.NS
98.771126,4.549048,7.69,0.02901,759.55,NAZARA.NS
466.81064,6.568988,3.01,0.81319,1405.1,ASTEC.NS
31.153702,5.8829613,26.48,0.04373,824.95,NEWGEN.NS
35.612602,5.778668,160.3,0.01364,5708.7,ICRA.NS
52.154312,11.252716,19.96,0.23332,1041,BECTORFOOD.NS
19.185568,2.9057968,24.25,0.70608,465.25,SIS.NS
47.621334,9.751329,37.5,0.87363,1785.8,TORNTPHARM.NS
98.48409,9.911465,10.06,0.01262,990.75,AETHER.NS
43.587692,9.268288,44.36,0.34994,1933.55,KIMS.NS
32.498997,8.495498,74.81,0.02136,2431.25,HDFCAMC.NS
55.394737,9.47878,9.12,0.45288,505.2,VIJAYA.NS
57.352158,9.242428,29.93,0.02235,1716.55,MANKIND.NS
74.92477,10.774003,18.61,0.12002,1394.35,POLYMED.NS
32.237717,4.89491,22.59,0.97874,728.25,FIVESTAR.NS
